language,tag,sample_size,run,seed,recall,precision,f1,support,overall_accuracy
GOTH,ADJ,250,0,251000,0.000000,0.000000,0.000000,22,0.619048
GOTH,ADV,250,0,251000,0.000000,0.000000,0.000000,22,0.619048
GOTH,AP,250,0,251000,0.800000,0.903226,0.848485,35,0.619048
GOTH,CONJ,250,0,251000,0.440000,0.846154,0.578947,25,0.619048
GOTH,N,250,0,251000,0.688312,0.546392,0.609195,77,0.619048
GOTH,NUM,250,0,251000,0.000000,0.000000,0.000000,4,0.619048
GOTH,PRO,250,0,251000,0.795918,0.750000,0.772277,49,0.619048
GOTH,VB,250,0,251000,0.790123,0.524590,0.630542,81,0.619048
GOTH,ADJ,250,1,251001,0.000000,0.000000,0.000000,16,0.535014
GOTH,ADV,250,1,251001,0.000000,0.000000,0.000000,18,0.535014
GOTH,AP,250,1,251001,0.750000,0.875000,0.807692,28,0.535014
GOTH,CONJ,250,1,251001,0.413793,0.800000,0.545455,29,0.535014
GOTH,N,250,1,251001,0.402174,0.430233,0.415730,92,0.535014
GOTH,PART,250,1,251001,0.000000,0.000000,0.000000,2,0.535014
GOTH,PRO,250,1,251001,0.638554,0.779412,0.701987,83,0.535014
GOTH,VB,250,1,251001,0.764045,0.414634,0.537549,89,0.535014
GOTH,ADJ,250,2,251002,0.000000,0.000000,0.000000,22,0.644776
GOTH,ADV,250,2,251002,0.000000,0.000000,0.000000,12,0.644776
GOTH,AP,250,2,251002,0.675676,0.961538,0.793651,37,0.644776
GOTH,CONJ,250,2,251002,0.730769,0.904762,0.808511,26,0.644776
GOTH,N,250,2,251002,0.741176,0.583333,0.652850,85,0.644776
GOTH,NUM,250,2,251002,0.000000,0.000000,0.000000,1,0.644776
GOTH,PART,250,2,251002,0.000000,0.000000,0.000000,1,0.644776
GOTH,PRO,250,2,251002,0.871429,0.734940,0.797386,70,0.644776
GOTH,VB,250,2,251002,0.592593,0.494845,0.539326,81,0.644776
GOTH,ADJ,250,3,251003,0.000000,0.000000,0.000000,25,0.574359
GOTH,ADV,250,3,251003,0.000000,0.000000,0.000000,13,0.574359
GOTH,AP,250,3,251003,0.625000,0.869565,0.727273,32,0.574359
GOTH,CONJ,250,3,251003,0.390244,0.941176,0.551724,41,0.574359
GOTH,INTJ,250,3,251003,0.000000,0.000000,0.000000,2,0.574359
GOTH,N,250,3,251003,0.683168,0.530769,0.597403,101,0.574359
GOTH,PRO,250,3,251003,0.822785,0.570175,0.673575,79,0.574359
