language,tag,sample_size,run,seed,recall,precision,f1,support,overall_accuracy
OHG,ADJ,250,0,251000,0.000000,0.000000,0.000000,15,0.303922
OHG,ADJS,250,0,251000,0.000000,0.000000,0.000000,1,0.303922
OHG,ADV,250,0,251000,0.000000,0.000000,0.000000,12,0.303922
OHG,AP,250,0,251000,0.000000,0.000000,0.000000,16,0.303922
OHG,C,250,0,251000,0.000000,0.000000,0.000000,6,0.303922
OHG,CARDS,250,0,251000,0.000000,0.000000,0.000000,4,0.303922
OHG,CONJ,250,0,251000,0.000000,0.000000,0.000000,13,0.303922
OHG,D,250,0,251000,0.321429,0.310345,0.315789,28,0.303922
OHG,N,250,0,251000,0.578947,0.220000,0.318841,38,0.303922
OHG,NEG,250,0,251000,0.000000,0.000000,0.000000,2,0.303922
OHG,NUM,250,0,251000,0.000000,0.000000,0.000000,1,0.303922
OHG,PART,250,0,251000,0.000000,0.000000,0.000000,3,0.303922
OHG,PRO,250,0,251000,0.615385,0.500000,0.551724,13,0.303922
OHG,TO,250,0,251000,0.000000,0.000000,0.000000,2,0.303922
OHG,VB,250,0,251000,0.460000,0.389831,0.422018,50,0.303922
OHG,ADJ,250,1,251001,0.000000,0.000000,0.000000,7,0.346667
OHG,ADV,250,1,251001,0.000000,0.000000,0.000000,21,0.346667
OHG,AP,250,1,251001,0.000000,0.000000,0.000000,16,0.346667
OHG,C,250,1,251001,0.000000,0.000000,0.000000,13,0.346667
OHG,CARDS,250,1,251001,0.000000,0.000000,0.000000,1,0.346667
OHG,CONJ,250,1,251001,0.000000,0.000000,0.000000,9,0.346667
OHG,D,250,1,251001,0.000000,0.000000,0.000000,24,0.346667
OHG,N,250,1,251001,0.727273,0.296296,0.421053,33,0.346667
OHG,NEG,250,1,251001,0.000000,0.000000,0.000000,3,0.346667
OHG,PART,250,1,251001,0.000000,0.000000,0.000000,5,0.346667
OHG,PRO,250,1,251001,0.685714,0.352941,0.466019,35,0.346667
OHG,TO,250,1,251001,0.000000,0.000000,0.000000,1,0.346667
OHG,VB,250,1,251001,0.526316,0.400000,0.454545,57,0.346667
OHG,ADJ,250,2,251002,0.000000,0.000000,0.000000,14,0.327974
OHG,ADV,250,2,251002,0.000000,0.000000,0.000000,24,0.327974
OHG,AP,250,2,251002,0.000000,0.000000,0.000000,21,0.327974
OHG,C,250,2,251002,0.000000,0.000000,0.000000,12,0.327974
OHG,CONJ,250,2,251002,0.000000,0.000000,0.000000,16,0.327974
OHG,D,250,2,251002,0.047619,0.166667,0.074074,42,0.327974
OHG,N,250,2,251002,0.842105,0.305732,0.448598,57,0.327974
OHG,NEG,250,2,251002,0.000000,0.000000,0.000000,5,0.327974
OHG,NUM,250,2,251002,0.000000,0.000000,0.000000,2,0.327974
OHG,PART,250,2,251002,0.000000,0.000000,0.000000,4,0.327974
OHG,PRO,250,2,251002,0.466667,0.656250,0.545455,45,0.327974
OHG,VB,250,2,251002,0.462687,0.281818,0.350282,67,0.327974
OHG,WH,250,2,251002,0.000000,0.000000,0.000000,2,0.327974
OHG,ADJ,250,3,251003,0.000000,0.000000,0.000000,4,0.231579
OHG,ADJS,250,3,251003,0.000000,0.000000,0.000000,2,0.231579
OHG,ADV,250,3,251003,0.000000,0.000000,0.000000,18,0.231579
OHG,AP,250,3,251003,0.000000,0.000000,0.000000,19,0.231579
OHG,C,250,3,251003,0.000000,0.000000,0.000000,3,0.231579
OHG,CONJ,250,3,251003,0.000000,0.000000,0.000000,8,0.231579
OHG,D,250,3,251003,0.000000,0.000000,0.000000,21,0.231579
OHG,KOKOM,250,3,251003,0.000000,0.000000,0.000000,1,0.231579
OHG,N,250,3,251003,0.000000,0.000000,0.000000,35,0.231579
OHG,NEG,250,3,251003,0.000000,0.000000,0.000000,5,0.231579
OHG,NUM,250,3,251003,0.000000,0.000000,0.000000,1,0.231579
OHG,PART,250,3,251003,0.000000,0.000000,0.000000,1,0.231579
OHG,PRO,250,3,251003,0.000000,0.000000,0.000000,25,0.231579
OHG,VB,250,3,251003,1.000000,0.231579,0.376068,44,0.231579
OHG,WH,250,3,251003,0.000000,0.000000,0.000000,3,0.231579
OHG,ADJ,250,4,251004,0.000000,0.000000,0.000000,9,0.331250
OHG,ADJOS,250,4,251004,0.000000,0.000000,0.000000,1,0.331250
OHG,ADV,250,4,251004,0.000000,0.000000,0.000000,16,0.331250
OHG,AP,250,4,251004,0.466667,0.700000,0.560000,15,0.331250
OHG,C,250,4,251004,0.000000,0.000000,0.000000,1,0.331250
OHG,CONJ,250,4,251004,0.000000,0.000000,0.000000,3,0.331250
OHG,D,250,4,251004,0.037037,0.200000,0.062500,27,0.331250
OHG,INTJ,250,4,251004,0.000000,0.000000,0.000000,1,0.331250
OHG,N,250,4,251004,0.914286,0.278261,0.426667,35,0.331250
OHG,NUM,250,4,251004,0.000000,0.000000,0.000000,1,0.331250
OHG,PART,250,4,251004,0.000000,0.000000,0.000000,2,0.331250
OHG,PRO,250,4,251004,0.187500,0.600000,0.285714,16,0.331250
OHG,VB,250,4,251004,0.303030,0.400000,0.344828,33,0.331250
