language,tag,sample_size,run,seed,recall,precision,f1,support,overall_accuracy
OI,ADJ,250,0,251000,0.000000,0.000000,0.000000,12,0.442105
OI,ADV,250,0,251000,0.000000,0.000000,0.000000,18,0.442105
OI,ALSO,250,0,251000,0.000000,0.000000,0.000000,2,0.442105
OI,AP,250,0,251000,0.272727,0.545455,0.363636,22,0.442105
OI,C,250,0,251000,0.000000,0.000000,0.000000,16,0.442105
OI,CONJ,250,0,251000,0.875000,0.736842,0.800000,16,0.442105
OI,D,250,0,251000,0.000000,0.000000,0.000000,16,0.442105
OI,ES,250,0,251000,0.000000,0.000000,0.000000,1,0.442105
OI,N,250,0,251000,0.902778,0.436242,0.588235,72,0.442105
OI,NEG,250,0,251000,0.000000,0.000000,0.000000,4,0.442105
OI,ONE,250,0,251000,0.000000,0.000000,0.000000,1,0.442105
OI,OTHER,250,0,251000,0.000000,0.000000,0.000000,2,0.442105
OI,PART,250,0,251000,0.000000,0.000000,0.000000,8,0.442105
OI,PRO,250,0,251000,0.541667,0.650000,0.590909,24,0.442105
OI,Q,250,0,251000,0.000000,0.000000,0.000000,11,0.442105
OI,TO,250,0,251000,0.000000,0.000000,0.000000,2,0.442105
OI,VB,250,0,251000,0.509091,0.325581,0.397163,55,0.442105
OI,WH,250,0,251000,0.000000,0.000000,0.000000,3,0.442105
OI,ADJ,250,1,251001,0.000000,0.000000,0.000000,16,0.387417
OI,ADV,250,1,251001,0.000000,0.000000,0.000000,25,0.387417
OI,ALSO,250,1,251001,0.000000,0.000000,0.000000,1,0.387417
OI,AP,250,1,251001,0.114286,0.571429,0.190476,35,0.387417
OI,C,250,1,251001,0.000000,0.000000,0.000000,13,0.387417
OI,CONJ,250,1,251001,0.833333,0.769231,0.800000,12,0.387417
OI,D,250,1,251001,0.000000,0.000000,0.000000,17,0.387417
OI,N,250,1,251001,0.906250,0.343195,0.497854,64,0.387417
OI,NEG,250,1,251001,0.000000,0.000000,0.000000,5,0.387417
OI,NUM,250,1,251001,0.000000,0.000000,0.000000,2,0.387417
OI,ONE,250,1,251001,0.000000,0.000000,0.000000,2,0.387417
OI,OTHER,250,1,251001,0.000000,0.000000,0.000000,3,0.387417
OI,PART,250,1,251001,0.000000,0.000000,0.000000,4,0.387417
OI,PRO,250,1,251001,0.600000,0.406780,0.484848,40,0.387417
OI,Q,250,1,251001,0.000000,0.000000,0.000000,2,0.387417
OI,TO,250,1,251001,0.000000,0.000000,0.000000,4,0.387417
OI,VB,250,1,251001,0.375000,0.388889,0.381818,56,0.387417
OI,WH,250,1,251001,0.000000,0.000000,0.000000,1,0.387417
OI,ADJ,250,2,251002,0.000000,0.000000,0.000000,6,0.523148
OI,ADV,250,2,251002,0.000000,0.000000,0.000000,15,0.523148
OI,AP,250,2,251002,0.720000,0.900000,0.800000,25,0.523148
OI,C,250,2,251002,0.000000,0.000000,0.000000,7,0.523148
OI,CONJ,250,2,251002,1.000000,0.937500,0.967742,15,0.523148
OI,D,250,2,251002,0.000000,0.000000,0.000000,9,0.523148
OI,N,250,2,251002,0.869565,0.434783,0.579710,46,0.523148
OI,NEG,250,2,251002,0.000000,0.000000,0.000000,4,0.523148
OI,ONE,250,2,251002,0.000000,0.000000,0.000000,1,0.523148
OI,PART,250,2,251002,0.000000,0.000000,0.000000,5,0.523148
OI,PRO,250,2,251002,0.303030,0.526316,0.384615,33,0.523148
OI,Q,250,2,251002,0.000000,0.000000,0.000000,5,0.523148
OI,TO,250,2,251002,0.000000,0.000000,0.000000,1,0.523148
OI,VB,250,2,251002,0.681818,0.434783,0.530973,44,0.523148
OI,ADJ,250,3,251003,0.000000,0.000000,0.000000,11,0.426901
OI,ADV,250,3,251003,0.000000,0.000000,0.000000,21,0.426901
OI,AP,250,3,251003,0.000000,0.000000,0.000000,29,0.426901
OI,C,250,3,251003,0.000000,0.000000,0.000000,16,0.426901
OI,CONJ,250,3,251003,0.970588,0.891892,0.929577,34,0.426901
OI,D,250,3,251003,0.000000,0.000000,0.000000,16,0.426901
OI,N,250,3,251003,0.861111,0.364706,0.512397,72,0.426901
OI,NEG,250,3,251003,0.000000,0.000000,0.000000,2,0.426901
OI,NUM,250,3,251003,0.000000,0.000000,0.000000,2,0.426901
OI,ONE,250,3,251003,0.000000,0.000000,0.000000,1,0.426901
OI,OTHER,250,3,251003,0.000000,0.000000,0.000000,3,0.426901
OI,PART,250,3,251003,0.000000,0.000000,0.000000,6,0.426901
OI,PRO,250,3,251003,0.243902,0.909091,0.384615,41,0.426901
OI,Q,250,3,251003,0.000000,0.000000,0.000000,8,0.426901
OI,TO,250,3,251003,0.000000,0.000000,0.000000,5,0.426901
OI,VB,250,3,251003,0.569444,0.330645,0.418367,72,0.426901
