,ADJ,ADV,AP,CONJ,INTJ,N,NUM,PART,PRO,VB
ADJ,294.59999999999997,1.0,0.0,0.2,0.0,38.0,0.0,0.0,0.0,53.8
ADV,4.999999999999999,219.8,41.2,13.600000000000001,0.0,3.4,0.2,0.0,0.6000000000000001,6.2
AP,0.4,19.8,522.1999999999999,0.0,0.0,0.2,0.0,0.0,0.0,0.2
CONJ,2.1999999999999997,16.2,0.0,475.6,0.0,0.0,0.0,1.2000000000000002,16.0,0.2
INTJ,0.2,0.2,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.4
N,18.8,1.0,0.0,0.0,0.0,1366.1999999999998,0.0,0.0,2.4,107.4
NUM,1.0,1.5999999999999999,0.0,0.2,0.0,3.4,14.0,0.0,0.0,2.4
PART,0.2,0.0,0.0,8.4,0.0,0.0,0.2,4.6,0.0,0.4
PRO,0.6,1.2,0.0,13.2,0.0,3.0,0.0,0.0,1184.2,14.200000000000001
VB,19.4,1.0,0.0,0.0,0.0,75.0,0.2,0.0,16.400000000000002,1401.8
