,ADJ,ADV,ALSO,AP,C,CONJ,D,ES,INTJ,N,NEG,NUM,ONE,OTHER,PART,PRO,Q,SUCH,TO,VB,WH
ADJ,682.4000000000001,21.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,129.20000000000002,0.0,3.6000000000000005,1.7999999999999998,2.1999999999999997,0.0,2.0,18.0,0.0,0.0,54.8,0.2
ADV,30.8,1759.4,0.0,19.400000000000002,0.0,0.2,4.8,0.0,0.0,27.0,1.0,0.0,0.2,0.0,3.6,7.0,5.3999999999999995,0.2,0.0,11.200000000000001,0.6000000000000001
ALSO,0.0,0.0,42.199999999999996,0.0,0.0,13.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP,0.2,14.399999999999999,0.0,2489.8,19.8,13.0,0.4,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,36.4,1.0,1.2000000000000002,0.0,7.6,0.4,0.4
C,0.0,0.0,0.0,14.4,1177.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,5.2,17.0,0.0
CONJ,0.2,2.2,6.0,17.400000000000002,0.0,1669.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.2,0.4
D,0.8,7.6,0.0,0.0,0.0,0.4,1115.8,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.4,60.0,0.2,0.0,0.0,3.8000000000000003,0.2
ES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.199999999999996,0.0,0.0,0.0,0.0,0.0
INTJ,0.2,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.4,0.0
N,108.4,10.399999999999999,0.0,1.7999999999999998,0.2,0.2,3.4,0.0,0.0,5516.8,0.2,2.0,0.0,0.0,0.2,11.8,3.0,0.0,0.0,93.80000000000001,0.2
NEG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.8,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.0,0.0,0.4,0.0
NUM,5.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,8.2,0.2,99.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.8,0.4
ONE,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,64.39999999999999,0.0,1.2,0.0,0.0,0.0,0.0,0.2,0.0
OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,102.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0
PART,0.0,4.4,0.0,75.4,1.4,0.0,0.8,0.0,0.0,1.0,0.0,0.4,6.800000000000001,0.0,298.0,1.0,0.2,0.0,4.4,0.4,0.0
PRO,0.8,17.8,0.0,2.4,0.0,0.0,33.599999999999994,4.2,0.0,6.3999999999999995,0.0,0.0,0.0,0.0,0.4,3022.2000000000003,1.8,0.0,0.0,3.6,0.6000000000000001
Q,13.599999999999998,3.2000000000000006,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.4,9.8,0.8,0.0,0.0,0.6000000000000001,0.6000000000000001,598.4000000000001,0.0,0.0,3.0,5.8
SUCH,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6000000000000001,0.0,0.8,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.4,0.0
TO,0.0,0.0,0.0,6.399999999999999,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,193.99999999999997,0.0,0.0
VB,67.8,5.4,0.0,5.2,25.4,0.0,3.2000000000000006,0.0,0.0,105.80000000000001,1.2000000000000002,0.2,0.0,0.0,0.8,2.4000000000000004,0.8,0.0,0.0,5135.2,0.0
WH,1.6,3.4,0.0,1.7999999999999998,0.0,0.2,0.2,0.0,0.0,1.4,0.2,0.0,0.0,0.0,0.0,0.6000000000000001,9.4,0.0,0.0,0.4,111.19999999999999
