language,category,model_recall,baseline_recall,context_contribution,support_mean
OE,ADJ,0.9088644585974184,0.8413930327327106,0.06747142586470778,7335.4
OE,ADV,0.952102299511098,0.8166817375451172,0.13542056196598085,10520.0
OE,AP,0.9793401624173512,0.8903530120098389,0.08898715040751237,15375.2
OE,C,0.9695731034219184,0.9816958699135178,-0.01212276649159938,4736.6
OE,CONJ,0.9936849189717838,0.9421845333731002,0.05150038559868364,10272.6
OE,D,0.9780156685551805,0.8188693826914069,0.15914628586377366,12106.4
OE,INTJ,0.9447574006633775,0.9528590132027885,-0.008101612539410996,128.8
OE,N,0.9767339346222238,0.9818033529721255,-0.005069418349901711,31706.2
OE,NEG,0.9913781433589396,0.9996680049785478,-0.008289861619608208,1209.0
OE,NUM,0.9649218116471383,0.9780648624642488,-0.013143050817110535,1495.0
OE,PART,0.8630354132413409,0.6503384158270666,0.21269699741427428,619.4
OE,PRO,0.9907692669678486,0.9466213366563189,0.04414793031152975,12705.8
OE,PRO$,0.9894377615015746,0.9956970355909013,-0.006259274089326694,3578.4
OE,Q,0.9733441899643458,0.9658393094747899,0.007504880489555887,3613.4
OE,TO,0.935270989933003,0.0,0.935270989933003,341.4
OE,VB,0.97676296548421,0.9188463366196018,0.057916628864608244,26815.8
OE,WH,0.9687328268905822,0.9362313352006915,0.032501491689890694,833.2
OS,ADJ,0.7845175688584146,0.693246233792839,0.09127133506557561,300.2
OS,ADV,0.9314707311306206,0.928443474275524,0.0030272568550966383,443.2
OS,ALSO,0.9512820512820515,1.0,-0.048717948717948545,9.6
OS,AP,0.9821907712650294,0.9849158783856329,-0.002725107120603476,382.4
OS,C,0.9101090397851268,0.7377144067203849,0.1723946330647419,134.6
OS,CONJ,0.9602069401248645,0.9223599119957611,0.037847028129103455,111.4
OS,D,0.9774728282623076,0.8348421997372191,0.14263062852508857,356.6
OS,INTJ,0.0,0.0,0.0,1.0
OS,N,0.9316852520125549,0.9879850389388635,-0.05629978692630855,1157.0
OS,NEG,0.9947368421052631,1.0,-0.0052631578947368585,59.2
OS,NUM,0.7136962168266516,0.8198697534349708,-0.10617353660831919,24.2
OS,PART,0.26857142857142857,0.4723809523809523,-0.20380952380952372,5.2
